county_group,candidate_rows,total_capacity_mw,cf_std,cf_min,cf_max,lcoe_std,lcoe_min,lcoe_max,cf_std_norm,lcoe_std_norm,composite_variability_score,capacity_weighted_score,county_name_full,county_name,state_abbrev,assigned_clusters_county_composite,max_possible_clusters,remaining_capacity
04001,1720,211973.675664,0.004098278623638572,0.29685286,0.31581324,2.223027322380305,23.177225,33.92041,0.35502707691729246,0.25779853799730146,0.30641280745729693,64951.449067248745,"Apache County, AZ",,,22,1720,1698
04003,872,87336.8008875,0.003048582161136519,0.30435213,0.31869447,1.35156263868115,23.407148,30.43854,0.26409361412562454,0.15673710743721012,0.21041536078141732,18377.00446823812,"Cochise County, AZ",,,5,872,867
04005,2078,239935.439366,0.004184644688405475,0.29374906,0.31724334,3.0625779465064964,23.610842,42.467392,0.36250882580136917,0.3551589803524168,0.358833903076893,86096.97019417098,"Coconino County, AZ",,,33,2078,2045
04007,309,25990.6716735,0.0031289283805971337,0.30462682,0.3183084,1.9620239034294467,25.506811,34.226707,0.27105387379950974,0.2275306689790378,0.24929227138927376,6479.273576419672,"Gila County, AZ",,,2,309,307
04009,621,60980.8475629,0.004643823455809352,0.30029616,0.32085988,1.3462109135401947,22.86842,33.68598,0.40228672050906206,0.15611648217398827,0.27920160134152516,17025.950290725123,"Graham County, AZ",,,4,621,617
04011,45,4337.814204,0.0008168773293935284,0.3165484,0.31940144,0.30767249532401647,29.16533,30.710361,0.07076472760583226,0.03567995709183809,0.053222342348835175,230.86863261092796,"Greenlee County, AZ",,,1,45,44
04012,404,39248.6941086,0.0023235426194534252,0.30488285,0.31483558,1.1382410031816679,23.984173,31.331976,0.20128464168327087,0.1319987674261324,0.16664170455470162,6540.469287803179,"La Paz County, AZ",,,2,404,402
04013,781,60036.9645918,0.003168971252171979,0.3009829,0.3162509,2.06670095094339,23.25871,32.571564,0.274522721321148,0.2396697864515454,0.2570962538863467,15435.278691259022,"Maricopa County, AZ",,,4,781,777
04015,1447,133885.8975593,0.004325284234784861,0.3003576,0.3224617,4.466206039466679,22.663147,39.776836,0.37469219634188095,0.5179339793882457,0.4463130878650633,59755.02836127673,"Mohave County, AZ",,,21,1447,1426
04017,1556,179979.2473464,0.003602660886414802,0.29944593,0.31682616,1.7710869465464023,26.53824,36.259624,0.3120925347170607,0.20538822032870055,0.25874037752288065,46567.89840469145,"Navajo County, AZ",,,15,1556,1541
04019,1090,112874.4380709,0.003566975239715928,0.2989004,0.31581154,1.6573186497859722,23.811724,31.835915,0.30900114635651144,0.1921948149755546,0.250597980666033,28286.106249380737,"Pima County, AZ",,,9,1090,1081
04021,815,73114.050413,0.003460517568847346,0.2981139,0.31547588,1.0617957346208449,23.541727,29.00992,0.29977889497372473,0.1231336139152482,0.21145625444448646,15460.423247598339,"Pinal County, AZ",,,4,815,811
04023,100,6690.0835144,0.0018143175823796239,0.30494067,0.3118555,0.7978206761373975,24.904562,28.101164,0.15717132167553988,0.0925211318014801,0.12484622673850998,835.2316833383501,"Santa Cruz County, AZ",,,1,100,99
04025,825,68798.9656589,0.003226743011602003,0.30170444,0.32073846,1.6261364763390724,23.565632,32.92073,0.27952739298024587,0.1885787016488045,0.2340530473145252,16102.607564552914,"Yavapai County, AZ",,,4,825,821
04027,181,12523.4323434,0.001788613374311244,0.30432236,0.3136233,2.2708493133604435,23.5279,32.91069,0.1549446087814105,0.2633443264969224,0.20914446763916644,2619.206590475512,"Yuma County, AZ",,,1,181,180
06001,37,1767.2231395,0.0024502167153870958,0.3077484,0.3208555,1.5055826747711862,26.839663,32.80469,0.21225820842445636,0.17459839943599118,0.19342830393022376,341.83097453973016,"Alameda County, CA",,,1,37,36
06003,15,590.0262815,0.0005901030321110688,0.3141274,0.31610492,0.7560509042739104,29.972454,32.834755,0.051119646517449664,0.08767720297951774,0.0693984247484837,40.94689449630541,"Alpine County, CA",,,1,15,14
06005,76,4430.3611447,0.002595357016272389,0.29853743,0.3160492,0.8454289257465095,28.103865,31.963997,0.22483147185974064,0.09804213328548256,0.16143680257261162,715.2233374423035,"Amador County, CA",,,1,76,75
06007,193,10616.7734857,0.002250653081825988,0.2932468,0.304127,1.1856858351043025,29.711096,34.870834,0.1949703419837675,0.1375008177977339,0.16623557989075072,1764.8854969640863,"Butte County, CA",,,1,193,192
06009,129,8638.9809065,0.0029311637355335517,0.2978254,0.30728942,1.264946637998385,25.884043,34.18569,0.253921850747311,0.14669248130131504,0.20030716602431303,1730.449782719166,"Calaveras County, CA",,,1,129,128
06011,143,10702.180936,0.004871589282213461,0.2970287,0.31329408,0.6644661030888008,26.661554,30.60517,0.42201769612001494,0.07705635832745385,0.2495370272237344,2670.5904155799635,"Colusa County, CA",,,1,143,142
