county_group,model_region,county_region_candidate_rows,county_region_capacity_mw,county_total_capacity_mw,n_model_regions,capacity_share_of_county,county_name_full,assigned_clusters_county_composite,raw_region_cluster_share
04001,AZ2,82,7896.790561,211973.675664,2,0.03725363791642327,"Apache County, AZ",22,0.819580034161312
04001,AZ3,1638,204076.885103,211973.675664,2,0.9627463620835767,"Apache County, AZ",22,21.180419965838688
04003,AZ2,17,322.0047414,87336.8008875,2,0.003686930802683965,"Cochise County, AZ",5,0.018434654013419826
04003,AZ4,855,87014.7961461,87336.8008875,2,0.996313069197316,"Cochise County, AZ",5,4.98156534598658
04005,AZ1,1214,143152.6994439,239935.439366,5,0.596630076082814,"Coconino County, AZ",33,19.688792510732863
04005,AZ2,225,17330.1922051,239935.439366,5,0.07222856386239944,"Coconino County, AZ",33,2.3835426074591815
04005,AZ3,526,67589.597774,239935.439366,5,0.28169910186088903,"Coconino County, AZ",33,9.296070361409338
04005,AZ4,1,10.125,239935.439366,5,4.219885160255639e-05,"Coconino County, AZ",33,0.0013925621028843607
04005,NV2,112,11852.824943,239935.439366,5,0.0494000593422949,"Coconino County, AZ",33,1.6302019582957317
04007,AZ2,304,25585.4228825,25990.6716735,3,0.9844079138819182,"Gila County, AZ",2,1.9688158277638363
04007,AZ3,1,46.348797,25990.6716735,3,0.001783285848947762,"Gila County, AZ",2,0.003566571697895524
04007,AZ4,4,358.899994,25990.6716735,3,0.01380880026913399,"Gila County, AZ",2,0.02761760053826798
04009,AZ2,266,27368.136157,60980.8475629,2,0.44879888113674626,"Graham County, AZ",4,1.795195524546985
04009,AZ4,355,33612.7114059,60980.8475629,2,0.5512011188632537,"Graham County, AZ",4,2.204804475453015
04011,AZ4,45,4337.814204,4337.814204,1,1.0,"Greenlee County, AZ",1,1.0
04012,AZ1,377,36432.4338526,39248.6941086,2,0.9282457590000959,"La Paz County, AZ",2,1.8564915180001917
04012,AZ2,27,2816.260256,39248.6941086,2,0.07175424099990409,"La Paz County, AZ",2,0.14350848199980817
04013,AZ1,51,4170.152205,60036.964591799995,2,0.069459744231799,"Maricopa County, AZ",4,0.277838976927196
04013,AZ2,730,55866.8123868,60036.964591799995,2,0.930540255768201,"Maricopa County, AZ",4,3.722161023072804
04015,AZ1,981,87845.1579742,133885.8975593,3,0.6561195732753863,"Mohave County, AZ",21,13.778511038783112
04015,NV2,461,45914.1842811,133885.8975593,3,0.3429351792690783,"Mohave County, AZ",21,7.201638764650644
04015,UT1,5,126.55530399999999,133885.8975593,3,0.0009452474555353884,"Mohave County, AZ",21,0.019850196566243157
04017,AZ2,89,7256.4697168,179979.2473464,3,0.04031836905525956,"Navajo County, AZ",15,0.6047755358288934
04017,AZ3,1411,168893.0424306,179979.2473464,3,0.9384028710017731,"Navajo County, AZ",15,14.076043065026596
