model_region,county_group,candidate_rows,metric_mean,metric_std,metric_min,metric_max,capacity_mw,assigned_clusters,max_possible_clusters,remaining_capacity
AZ1,04005,1214,30.35188391103789,1.3944775028308523,26.963272,35.567307,143152.6994439,1,1214,1213
AZ1,04012,377,26.83068580371353,0.9284753102704265,23.984173,31.331976,36432.4338526,1,377,376
AZ1,04013,51,29.281596274509802,1.0943439800670545,27.556498,31.53446,4170.152205,1,51,50
AZ1,04015,981,25.356120209989808,1.4566296452086516,22.663147,29.62954,87845.1579742,1,981,980
AZ1,04025,497,28.233113937625752,1.3595128087134216,25.640427,31.274826,46211.2294086,1,497,496
AZ1,04027,147,30.35460982993197,1.0403213927162895,27.321175,32.537636,10679.2108812,1,147,146
AZ1,06025,316,32.49859846518987,1.0353674082014688,30.450165,34.94969,22484.8131995,1,316,315
AZ1,06065,135,30.368464000000003,1.2453438513586057,27.620584,33.18686,10735.6439375,1,135,134
AZ1,06071,78,27.84753714102564,1.2069089158083706,25.710636,32.61262,5066.7119,1,78,77
AZ1,06073,11,32.02775227272727,0.6135987035110314,30.968424,32.913227,974.7766210000001,1,11,10
AZ1,32003,14,25.879455285714283,0.32951851379210617,25.29741,26.49797,1111.05241,1,14,13
AZ1,49037,2,35.7303215,0.11049886958923934,35.652187,35.808456,213.09223,1,2,1
AZ2,04001,82,32.99400368292683,0.5783887296139932,31.57669,33.92041,7896.790561,1,82,81
AZ2,04003,17,23.818088764705884,0.3195183649507742,23.407148,24.722717,322.0047414,1,17,16
AZ2,04005,225,37.879707106666665,4.921275582668942,23.610842,42.467392,17330.1922051,7,225,218
AZ2,04007,304,30.38507167763158,1.9661710997567234,25.506811,34.226707,25585.4228825,2,304,302
AZ2,04009,266,30.54138980075188,1.2133193500946446,22.86842,33.68598,27368.136157,1,266,265
AZ2,04012,27,29.626272592592592,0.20342882132262494,29.028196,29.968561,2816.260256,1,27,26
AZ2,04013,730,26.727229489041097,2.0152584256507886,23.25871,32.571564,55866.8123868,2,730,728
AZ2,04017,89,33.47604673033708,1.227755215689114,31.589327,36.259624,7256.4697168,1,89,88
AZ2,04019,211,28.254205668246446,0.9548816132708007,26.488703,31.835915,24928.028711,1,211,210
AZ2,04021,808,25.72970707549505,1.0527698847399918,23.541727,29.00992,72460.659294,1,808,807
AZ2,04025,328,28.581291439024394,1.9459211077452805,23.565632,32.92073,22587.7362503,2,328,326
AZ2,04027,18,24.132822722222222,1.350567230305052,23.5279,29.493422,687.5213928000001,1,18,17
AZ2,49017,25,43.8379082,1.5898961977333086,41.50131,45.912518,1115.746772,1,25,24
AZ2,49025,31,41.235718322580645,0.8415373459882541,40.076344,43.085808,2231.83543,1,31,30
AZ2,49037,95,43.31204561052632,1.310985473266334,41.19313,47.407833,3011.302424,1,95,94
AZ3,04001,1638,27.62954537057387,1.9493738317271077,23.177225,33.471355,204076.885103,2,1638,1636
AZ3,04005,526,31.033048226235742,1.1364321840358167,29.237103,34.516636,67589.597774,1,526,525
AZ3,04007,1,33.409126,0.0,33.409126,33.409126,46.348797,1,1,0
AZ3,04017,1411,29.51516561800142,1.436541313359828,26.53824,33.393154,168893.0424306,1,1411,1410
AZ3,08007,24,33.397997374999996,0.439747021323458,32.617546,34.060047,1396.743449,1,24,23
AZ3,08067,145,31.570202655172416,1.087200541317218,29.428864,33.75918,12315.0421565,1,145,144
AZ3,08083,235,31.027920136170213,1.164936460685429,29.035164,33.03341,19992.3273681,1,235,234
AZ3,35003,237,29.80013435443038,0.7644361851159648,28.439222,32.03173,29174.485793,1,237,236
AZ3,35006,318,27.92774798427673,0.6573195583564302,26.72559,30.371223,36591.2441268,1,318,317
AZ3,35031,801,26.05495306616729,1.14276125512918,23.187445,28.660507,93524.950324,1,801,800
AZ3,35039,58,30.422230086206895,1.135212145941835,28.194454,32.15461,4986.034797,1,58,57
AZ3,35043,19,28.231694684210527,0.2769632756080872,27.730131,28.65004,2333.18152,1,19,18
AZ3,35045,870,27.745257328735633,1.3875612385696587,24.238914,32.481915,94140.0307969,1,870,869
AZ3,49037,416,31.854397021634615,0.9139879584950301,30.175661,34.38907,40476.0169664,1,416,415
AZ4,04003,855,27.930653295906435,1.2373586715334237,25.120594,30.43854,87014.7961461,1,855,854
AZ4,04005,1,33.009613,0.0,33.009613,33.009613,10.125,1,1,0
AZ4,04007,4,31.513659,0.2919378774511216,31.193449,31.837563,358.899994,1,4,3
AZ4,04009,355,29.312143490140848,1.1928770726585223,26.948807,31.959692,33612.7114059,1,355,354
AZ4,04011,45,30.099348955555556,0.30767249532401647,29.16533,30.710361,4337.814204,1,45,44
AZ4,04017,56,32.76643503571429,0.7467320047116334,31.390951,34.29147,3829.735199,1,56,55
AZ4,04019,879,26.747536335608643,1.6579425766882616,23.811724,31.13812,87946.4093599,1,879,878
AZ4,04021,7,27.44675414285714,0.687213622518604,26.661757,28.080154,653.391119,1,7,6
AZ4,04023,100,26.319458989999998,0.7978206761373975,24.904562,28.101164,6690.0835144,1,100,99
AZ4,35003,10,30.9112675,0.9005660656373924,29.83267,32.097843,290.224577,1,10,9
AZ4,35017,52,30.37116423076923,1.3595705568607368,28.324297,33.346294,4256.781031,1,52,51
AZ4,35023,330,30.793159784848484,0.5322184587876198,29.642096,31.92037,31160.039714,1,330,329
AZ4,35029,5,28.6403434,0.9641207700331437,28.149462,30.36232,521.749386,1,5,4
CA1,06023,37,44.83459605405405,1.7693905922355646,40.274906,47.114002,2212.986294,1,37,36
CA1,06035,165,32.989134575757575,0.743728630970447,31.419228,34.321835,14203.484491,1,165,164
CA1,06049,126,31.105154666666667,0.5836071954008792,30.335192,34.57838,9300.805458,1,126,125
CA1,06089,319,32.430104188087775,1.2286230948677366,28.466724,35.79474,24661.295343,1,319,318
CA1,06093,378,27.78998398941799,1.3016011560729186,24.19869,31.995974,25746.5444528,1,378,377
CA1,06103,131,33.832195053435115,0.46030464066226967,32.934536,34.904987,10575.484266,1,131,130
CA1,06105,38,34.42263563157895,2.329245460657295,30.754414,39.31694,1293.713563,2,38,36
CA1,41029,1,29.032444,0.0,29.032444,29.032444,130.16634,1,1,0
CA1,41035,334,32.25972364670658,1.683650344861052,29.087095,36.599754,28918.4339976,1,334,333
CA1,41037,23,34.93903417391304,0.4235731587939621,34.01509,35.49482,1548.146337,1,23,22
CA2,06025,46,32.739432,2.9457174600507785,25.298174,34.99414,3746.4762165,2,46,44
CA2,06029,260,35.79704126923077,5.7907039627191725,24.778572,41.033405,23059.3863625,11,260,249
CA2,06037,130,31.670682046153846,2.8557298731753122,25.92006,37.38184,7611.0165902,2,130,128
CA2,06059,12,29.00874041666667,1.7554451207856836,26.907286,31.643972,529.9722624,1,12,11
CA2,06065,262,28.056170832061067,1.8181840871581725,24.574028,32.830654,11203.2003936,2,262,260
CA2,06071,399,29.17684186967419,2.229353100855956,24.90186,34.56511,22194.8216219,2,399,397
CA2,06073,4,29.82072325,0.6675990345526143,29.15765,30.440613,124.855853,1,4,3
CA2,06079,19,40.17200589473684,0.9325020779435808,38.767628,41.200073,1213.570832,1,19,18
CA2,06083,74,41.50692835135135,1.9182766305678371,30.055037,43.686974,5061.472665,2,74,72
CA2,06107,146,35.04780853424657,5.884673806426199,25.838688,40.510708,8403.5045642,12,146,134
CA2,06111,74,28.323693513513515,3.5920732615404116,25.37374,42.510544,2031.9759031,3,74,71
CA3,04027,16,32.5160978125,0.22476540773236256,32.144188,32.91069,1156.7000694,1,16,15
CA3,06025,14,33.56450164285714,0.43196680366980417,32.969093,34.297962,816.953392,1,14,13
CA3,06059,1,32.435314,0.0,32.435314,32.435314,48.711864,1,1,0
CA3,06065,9,29.58239,0.9658852259965992,29.131624,32.14566,213.5180755,1,9,8
CA3,06073,268,28.32307248134328,1.481307256722064,24.9007,33.788914,10733.5385338,1,268,267
CA4,06001,37,29.215082945945948,1.5055826747711862,26.839663,32.80469,1767.2231395,1,37,36
CA4,06003,1,32.834755,0.0,32.834755,32.834755,5.0624995,1,1,0
CA4,06005,76,30.03898222368421,0.8454289257465095,28.103865,31.963997,4430.3611447,1,76,75
CA4,06007,193,31.90912643523316,1.1856858351043025,29.711096,34.870834,10616.7734857,1,193,192
CA4,06009,129,31.79361381395349,1.264946637998385,25.884043,34.18569,8638.9809065,1,129,128
