region,total_rows,rows_with_county,capacity_mw,rows_missing_county,pct_with_county
AL_and_e_MS_and_FL_pnh,8368,0,527946.2,8368,0.0
CT_and_RT,1589,0,62205.984,1589,0.0
Central_FL,6759,0,331528.12,6759,0.0
Chicago_and_sw_MI,3567,0,278053.2,3567,0.0
DE_and_NJ,2142,0,111967.81,2142,0.0
GA,6254,0,363817.75,6254,0.0
IA,6702,0,679500.44,6702,0.0
IL_no_Chicago,5249,0,495352.75,5249,0.0
IN_and_W_KY,4617,0,312098.28,4617,0.0
MA,789,0,51459.88,789,0.0
MD_and_VA_Island,1714,0,64616.91,1714,0.0
ME,5105,0,364530.3,5105,0.0
MI,6528,0,293274.03,6528,0.0
NC,9517,0,376689.97,9517,0.0
NY,6237,0,358331.9,6237,0.0
New_York_City,44,0,743.77655,44,0.0
OH,6606,0,330675.47,6606,0.0
PA,6426,0,302983.3,6426,0.0
SC,2861,0,141917.23,2861,0.0
TN_and_s_KY,15422,0,1050275.9,15422,0.0
VA,4664,0,248325.89,4664,0.0
VT_and_NH,2326,0,162587.52,2326,0.0
WI_and_w_MI,5212,0,301541.44,5212,0.0
WV,1825,0,81624.8,1825,0.0
e_AR_and_w_MS,6949,0,540211.94,6949,0.0
e_MO,6191,0,504122.78,6191,0.0
n_KY,3431,0,195839.16,3431,0.0
se_FL,452,0,28558.809,452,0.0
KS_and_w_MO,12018,62,1134093.5,11956,0.0051589282742552835
LA_and_e_TX,5841,197,347529.38,5644,0.033727101523711694
NE_and_e_SD_and_w_ND_and_e_MT,13447,960,1539079.0,12487,0.07139138841377259
MN_and_e_ND,25976,1898,2329770.8,24078,0.07306744687403757
OK_and_e_NM_and_nw_TX,22316,6424,2461879.0,15892,0.28786520881878475
e_WY_and_w_SD,29485,22509,3626275.2,6976,0.7634051212480922
Houston_ERCOT,3819,3191,261661.6,628,0.8355590468709087
CO,20429,17481,2327726.0,2948,0.8556953350629007
e_Texas_ERCOT,23730,21109,2374307.2,2621,0.8895490939738727
NM_and_w_TX,16221,16220,1814968.5,1,0.9999383515196351
AZ,11646,11646,1123888.8,0,1.0
Bay_area,10581,10581,776928.5,0,1.0
ID_and_w_MT_and_w_WY,17404,17404,1788197.0,0,1.0
LAX,1414,1414,82225.67,0,1.0
NV_and_UT_and_n_CA,28412,28412,2819039.8,0,1.0
San_Diego,279,279,11110.102,0,1.0
WA_and_OR,12095,12095,955366.06,0,1.0
w_TX_ERCOT,12820,12820,1463508.6,0,1.0
