region,n_counties,n_sites,capacity_mw,min_lcoe,avg_lcoe,max_lcoe,q,n_clusters_per_county,expected_solar_clusters
AL_and_e_MS_and_FL_pnh,1,8368,527946.2,27.463688,35.19109,45.77725,1,1,1
AZ,31,11646,1123888.8,22.663147,31.081398,47.407833,1,1,31
Bay_area,64,10581,776928.5,25.280487,36.398064,60.186058,1,1,64
CO,91,20429,2327726.0,24.155378,37.440746,55.783398,1,1,91
CT_and_RT,1,1589,62205.984,28.818214,38.149544,55.00829,1,1,1
Central_FL,1,6759,331528.12,27.502913,35.232227,46.253307,1,1,1
Chicago_and_sw_MI,1,3567,278053.2,28.86722,33.69729,54.58848,1,1,1
DE_and_NJ,1,2142,111967.81,28.462172,38.10689,51.20024,1,1,1
GA,1,6254,363817.75,27.3529,33.682964,45.48879,1,1,1
Houston_ERCOT,35,3819,261661.6,28.215237,35.331295,42.954185,1,1,35
IA,1,6702,679500.44,25.807976,31.901241,39.38568,1,1,1
ID_and_w_MT_and_w_WY,103,17404,1788197.0,25.05742,35.914787,53.893253,1,1,103
IL_no_Chicago,1,5249,495352.75,26.983324,33.001213,38.051346,1,1,1
IN_and_W_KY,1,4617,312098.28,27.023764,32.149128,45.962154,1,1,1
KS_and_w_MO,6,12018,1134093.5,24.870169,32.31434,53.593052,1,1,6
LAX,11,1414,82225.67,24.574028,30.70965,43.686974,1,1,11
LA_and_e_TX,8,5841,347529.38,27.211052,37.72262,45.60581,1,1,8
MA,1,789,51459.88,28.986996,45.506046,64.53392,1,1,1
MD_and_VA_Island,1,1714,64616.91,28.553068,35.791573,43.838367,1,1,1
ME,1,5105,364530.3,29.02787,42.032887,57.383335,1,1,1
MI,1,6528,293274.03,28.09364,34.883957,57.097443,1,1,1
MN_and_e_ND,28,25976,2329770.8,27.237837,38.947956,57.31693,1,1,28
NC,1,9517,376689.97,28.074774,34.952045,46.482853,1,1,1
NE_and_e_SD_and_w_ND_and_e_MT,17,13447,1539079.0,24.600605,32.867836,41.88281,1,1,17
NM_and_w_TX,73,16221,1814968.5,22.62078,31.925648,47.78794,1,1,73
NV_and_UT_and_n_CA,132,28412,2819039.8,22.628979,38.231148,58.218357,1,1,132
NY,1,6237,358331.9,29.041,38.363064,57.395042,1,1,1
New_York_City,1,44,743.77655,40.456806,73.60906,95.02379,1,1,1
OH,1,6606,330675.47,27.46177,32.29303,45.034725,1,1,1
OK_and_e_NM_and_nw_TX,70,22316,2461879.0,23.113888,31.947044,40.210762,1,1,70
PA,1,6426,302983.3,28.543518,35.64361,46.00519,1,1,1
SC,1,2861,141917.23,27.767729,33.30218,43.16631,1,1,1
San_Diego,3,279,11110.102,24.9007,28.428604,36.522907,1,1,3
TN_and_s_KY,1,15422,1050275.9,27.09778,33.73297,45.450092,1,1,1
VA,1,4664,248325.89,27.905882,33.50141,44.64837,1,1,1
VT_and_NH,1,2326,162587.52,29.307095,45.19979,64.78656,1,1,1
WA_and_OR,88,12095,955366.06,24.886866,40.981922,60.61094,1,1,88
WI_and_w_MI,1,5212,301541.44,27.470295,38.63212,59.564575,1,1,1
WV,1,1825,81624.8,28.67967,35.87382,45.75978,1,1,1
e_AR_and_w_MS,1,6949,540211.94,26.562431,33.08051,43.090816,1,1,1
e_MO,1,6191,504122.78,26.700987,33.627922,40.59564,1,1,1
e_Texas_ERCOT,185,23730,2374307.2,25.77207,33.548874,45.40394,1,1,185
e_WY_and_w_SD,93,29485,3626275.2,25.486853,36.758644,50.313416,1,1,93
n_KY,1,3431,195839.16,27.370043,32.98462,42.25775,1,1,1
se_FL,1,452,28558.809,28.015078,32.784626,39.91644,1,1,1
w_TX_ERCOT,83,12820,1463508.6,24.094894,35.132458,44.134056,1,1,83
